gender,freq_city,freq_country,freq_chl,freq_cwc,freq_wc,trav_country,trav_chl,trav_cwc,trav_wc,whole_high,freq_tv,freq_pc,freq_tabl,frec_cell,stats,alone_together,freq_with_friends,freq_with_rel,freq_alone,freq_home,freq_friends,freq_rel,freq_stad,freq_bar,freq_food,freq_nonalc,freq_alc,emotions,paraphenalia,bets,d_cornerk,d_cornerk_alt,d_goal,d_goal_alt,d_save,d_save_alt,d_assist,d_assist_alt,d_foul,d_foul_alt,d_penalty,d_penalty_alt,d_offside,d_offside_alt,d_steal,d_steal_alt,d_fight,d_fight_alt,a_offside,a_offside_alt,a_penalty,a_penalty_alt,a_cornerk,a_cornerk_alt,a_oppscore,a_oppscore_alt,a_wescore,a_wescore_alt
Female,0.33,0.33,0,0.33,0,0,0.25,0,0.25,Whole game,0,0.66,0.33,0.33,0.66,NP,0.33,0,0.66,0,0,0.66,0.33,0,0.33,0.66,0,Yes,No,No,0.25,0,1,0.25,0.75,0.25,1,0.25,0.25,0.5,1,0.5,0.5,0.25,0.25,0.25,0.25,0.25,Attacker,Defenders,Attacker,Goalkeeper,Ball,Attacker,Goalkeeper,Defenders,Attacker,Goalkeeper
Male,0,0,0,0.33,0,0.25,1,0.5,1,Whole game,0.66,0,0.33,0.33,0,NP,0.66,0.33,0,0,0.33,0.33,0.33,0,0.33,0.33,0,Yes,Yes,No,1,0.75,1,1,1,0.75,1,1,1,1,1,1,1,1,0.75,0.5,1,1,Attacker,Attacker,Ball,Ball,Ball,Ball,Ball,Ball,Ball,Ball
Male,0,0,0.66,0.33,0.66,0,0.5,0.25,0.5,Whole game,0.66,0,0.33,0.33,0.66,NP,0.33,0.33,0.66,0.66,0.33,0,0.33,0.33,0.33,0,0,Yes,Yes,Yes,0.75,0.75,1,1,0.5,0.5,0.75,0.75,0.5,0.5,0.25,0.25,0.5,0.75,0.25,0,0.5,0.25,Defenders,Attacker,Attacker,Defenders,Attacker,Defenders,Defenders,Attacker,Attacker,Defenders
Male,0.33,0.33,0.66,0.66,0,0.5,0.5,1,1,Whole game,0.33,0.66,0,0.33,0.33,In a company,0.66,0.33,0.66,0.66,0.33,0.33,0.33,0,0.66,0,0,No,Yes,No,0.75,0.75,1,1,1,1,0.75,0.75,1,1,0.75,0.75,1,1,0.5,0.5,0.75,0.75,Defenders,Ball,Ball,Goalkeeper,Defenders,Defenders,Defenders,Defenders,Attacker,Attacker
Male,0,0.33,0,0.66,0,0.5,1,0.25,1,Whole game,0.66,0,0.66,0.33,0,NP,0.66,0.33,0,0,0.66,0.33,0.33,0.33,0.33,0.33,0,Yes,No,Yes,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,0.5,0.5,1,1,Defenders,Defenders,Attacker,Attacker,Defenders,Defenders,Defenders,Defenders,Attacker,Attacker
Female,0,0.33,0.66,0.66,0.66,0.25,1,1,1,Replay,0,0.33,0,0,0.33,In a company,0.66,0,0.33,0,0.33,0,0.66,0.33,0.66,0,0,Yes,No,No,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.75,0.25,0.25,0,Ball,Attacker,Goalkeeper,Defenders,Ball,Defenders,Ball,Defenders,Ball,Goalkeeper
Male,0,0,0.33,0,0,0,0.5,0,0.5,Whole game,0.33,0.66,0,0.33,0,In a company,0.33,0.33,0,0.66,0.33,0.33,0.33,0.33,0,0.33,0.33,Yes,Yes,No,0.5,0.5,1,0.5,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0.5,Ball,Defenders,Ball,Attacker,Ball,Defenders,Attacker,Defenders,Attacker,Goalkeeper
Male,0,0,0.33,0,0.66,0,0,0,0.75,Whole game,0.33,0,0.66,0,0,NP,0.33,0.33,0,0,0,0,0.66,0,0.33,0.66,0,Yes,Yes,No,0.5,0.5,1,1,1,1,1,1,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,Defenders,Attacker,Goalkeeper,Defenders,Ball,Ball,Goalkeeper,Defenders,Attacker,Goalkeeper
Male,0.33,0.33,0,0.66,0,0.75,0.75,0.75,0.75,NP,0.66,0,0.33,0.33,0.66,In a company,0.33,0.66,0,0.66,0.33,0.66,0.33,0,0,0,0.33,Yes,No,No,0.75,0.5,1,1,1,1,1,1,0,0,0.25,0.25,0,0,0.75,1,0,0,Ball,Ball,Goalkeeper,Goalkeeper,Goalkeeper,Goalkeeper,Defenders,Defenders,Attacker,Attacker
Male,0,0.33,0,0.33,0,1,0.75,0,1,Whole game,0,0.66,0,0.66,0,Alone,0.33,0,0,0,0,0,0.33,0,0,0,,Yes,Yes,Yes,0.5,0.5,0.5,0.5,1,1,0.25,0.5,1,1,0.5,0.5,1,1,1,1,1,1,Defenders,Defenders,Ball,Ball,Goalkeeper,Goalkeeper,Defenders,Ball,Ball,Ball
